Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2017-06-18,291.172133333333,292.045729166667,292.327727916667,291.5863825,289.746681666667,289.55604,289.37523,289.943696666667,290.56633875,290.721980833333,290.162282916667,290.760402916667,289.22712375,292.84238125,290.96714625,291.849907083333,292.206999166667,292.17290625,290.896733333333,290.793234166667,290.612247916667
2017-06-19,293.333574583333,293.70712,293.68687,292.877915833333,292.205647083333,292.039184166667,291.762506666667,292.364178333333,291.588786666667,292.520162083333,291.615764166667,292.715967083333,291.16132,295.903489166667,293.157637916667,293.803120833333,295.182970833333,294.940458333333,292.58913,292.325527916667,292.859600833333
2017-06-20,295.2558325,296.01847625,296.346335416667,295.358562916667,291.121334166667,291.6108375,292.757431666667,293.70468375,295.31395625,295.688062083333,295.443317083333,292.501977083333,290.050594583333,296.50541375,295.928630833333,295.548628333333,295.994077916667,296.637399166667,295.337705,294.74253125,294.10645875
2017-06-21,290.425094166667,292.035396666667,293.621624583333,294.152535833333,287.93952875,287.559626666667,287.989094166667,288.40863375,293.660851666667,291.11105375,291.910855416667,289.886753333333,287.852995,294.494889166667,292.783045833333,292.466494166667,296.847395,294.610196666667,293.472222916667,295.21782,295.417845416667
2017-06-22,290.35975125,292.240547916667,293.352640416667,294.015597916667,288.90559875,288.827377083333,289.65632375,289.467305833333,292.272614166667,290.643582083333,290.920079583333,291.55181375,288.9606425,296.98932625,294.623787083333,294.015600416667,297.571766666667,297.278595833333,294.261294583333,294.982137083333,295.172435
2017-06-23,294.83671625,295.728509583333,295.487990416667,295.049570416667,293.54473875,293.399222916667,293.019637083333,293.74675625,293.69318625,294.452068333333,293.992172083333,295.534619583333,293.000295416667,297.893195833333,295.539645,296.754219166667,297.140675,297.528455416667,294.1113125,293.998267083333,294.73282875
2017-06-24,295.923165,296.712727916667,296.606292083333,295.74262125,291.548222916667,292.000710416667,292.936202083333,293.694716666667,295.981838333333,295.766904166667,295.543327916667,293.932445,290.33878,295.2071975,295.627764583333,295.842368333333,297.269279166667,295.582599166667,294.891199583333,294.662375,295.580152916667
2017-06-25,290.680415,292.197467083333,292.9010725,293.088122083333,289.56386,288.982771666667,289.8285975,289.61044125,292.90276625,290.7182775,290.925708333333,291.70195125,289.62898125,294.643775833333,292.224183333333,293.235594166667,297.027067083333,294.931609166667,292.317925833333,293.801892083333,295.893640833333
2017-06-26,293.120775416667,293.87685625,292.584777916667,291.81736875,292.569172083333,292.05924625,293.212360833333,292.693310833333,290.99572,291.66052125,290.721012916667,295.040397083333,292.69414,296.670128333333,292.673572083333,295.80625,296.1730025,295.285130833333,291.2641275,292.001742916667,295.618822916667
2017-06-27,296.1873775,296.615334166667,295.347068333333,294.460151666667,295.15013625,294.869932083333,295.057940833333,295.298837083333,293.928072916667,295.0552525,294.4689075,297.916238333333,295.670931666667,298.73173,295.453381666667,298.424845833333,296.084012916667,296.617901666667,293.958536666667,293.976329166667,295.000593333333
2017-06-28,297.872553333333,299.26407,298.17136375,297.271873333333,297.3791,296.485498333333,296.935738333333,297.039481666667,296.522498333333,296.93539625,296.762998333333,300.158489583333,297.911013333333,301.149756666667,298.197567916667,301.157028333333,295.54573375,297.810366666667,296.451052916667,295.5024225,294.554752916667
2017-06-29,299.77932625,300.690484583333,299.623992916667,298.693541666667,298.816685416667,297.819859583333,297.3541125,298.158950833333,299.233039166667,298.999605,299.079660416667,300.083006666667,298.05037,300.33901375,298.646062916667,300.988192916667,295.887572083333,298.079177916667,297.223923333333,296.24137375,294.36465875
2017-06-30,301.481840416667,301.61371,300.627576666667,299.043821666667,299.05160125,299.62868875,299.056480416667,300.101239166667,299.23839,299.901315,299.312938333333,298.79789375,295.82998375,300.927330833333,299.134647083333,300.573645,296.717641666667,298.804319583333,297.779272916667,296.386824166667,293.992212083333
2017-07-01,299.768670416667,300.356453333333,301.197937083333,300.158147083333,293.071758333333,293.84670125,294.896094583333,296.93355375,300.594702083333,300.661052916667,300.51608,296.098627083333,292.536725416667,299.028132083333,299.401480416667,298.227127916667,297.38596,299.15179,298.337908333333,297.091917083333,294.498420833333
2017-07-02,292.572135416667,294.46825375,296.666091666667,298.76310125,289.998039583333,289.950993333333,290.416841666667,290.85128125,298.632960416667,293.570422916667,294.945112916667,292.476159583333,290.613405833333,294.34033125,293.209992916667,293.994172916667,297.1222275,294.63663875,295.055795,297.155969583333,296.077784166667
2017-07-03,293.213011666667,293.50111,294.8162,295.74814125,291.30949875,291.162383333333,290.207284166667,291.748565416667,295.67865375,292.8975325,293.01862875,292.31352375,291.182476666667,293.566535416667,292.077745,292.94619,296.732071666667,293.83807,293.611841666667,295.841740416667,296.887325833333
2017-07-04,294.203658333333,293.916560833333,293.916294583333,294.224317083333,291.847879166667,291.74812125,290.95325625,292.27692375,294.9868975,293.115952083333,292.97138375,293.713898333333,291.7562825,294.919627083333,292.5195125,293.868977916667,295.655193333333,294.179204583333,292.54013125,293.228922916667,295.591743333333
2017-07-05,294.7398725,294.691308333333,294.430875833333,294.469112083333,292.156469166667,292.493635833333,291.532039583333,293.063660833333,296.418220416667,294.729780833333,295.459847083333,294.317249166667,291.281464583333,294.815189583333,292.524475,295.02906875,294.45427875,293.8386975,291.054575833333,292.046577916667,293.156131666667
2017-07-06,293.754027083333,293.603562083333,294.9088725,295.02984875,290.720003333333,292.048923333333,291.64445625,293.09186125,295.588345,294.15625375,294.492803333333,292.32706875,289.8253625,293.3465175,291.893257916667,293.456348333333,294.110334583333,292.833571666667,292.172944583333,293.449984583333,294.015529166667
2017-07-07,291.504382083333,291.3521,291.194769166667,290.910680833333,289.437270416667,290.066623333333,291.100659166667,291.3120025,293.04201375,291.214192916667,291.608837083333,290.966180416667,289.553723333333,291.469455416667,288.6906575,291.181535,290.243321666667,289.460928333333,288.387119166667,288.930810833333,290.066720416667
2017-07-08,289.674328333333,289.321635833333,289.12382375,288.04572625,288.289630416667,288.715365833333,289.860400833333,289.850223333333,290.258556666667,289.460621666667,289.289322083333,288.9972625,287.788493333333,289.047560416667,286.741351666667,288.954321666667,288.824355416667,287.6624775,286.4262475,286.781500416667,288.566399166667
2017-07-09,289.08853625,287.916310833333,287.80355,288.326369583333,287.922472083333,288.754700833333,290.153132916667,289.732652916667,290.41733625,288.308963333333,288.5886175,287.724748333333,286.750845,287.915970833333,285.65684625,287.898421666667,287.914259583333,286.341035,285.30483,286.65044625,287.955387916667
2017-07-10,288.966286666667,288.57289125,287.370707083333,286.852363333333,288.522914166667,289.11866125,289.887001666667,289.348914583333,288.683145416667,287.765057916667,287.348752083333,289.143864166667,288.628732083333,288.607114166667,286.651599166667,289.119354166667,288.602170833333,286.75445,285.852939166667,286.288140416667,288.30470125
2017-07-11,289.323577916667,289.303125833333,288.732350833333,288.150011666667,289.722170833333,289.383299166667,289.676134583333,289.241520833333,289.137326666667,288.483715833333,288.337121666667,290.160702083333,289.8926375,290.861592083333,288.389359166667,290.3037675,290.72601875,288.965818333333,287.514709166667,287.549794583333,290.351790416667
2017-07-12,291.591355,292.241353333333,292.015540416667,291.059533333333,289.6660925,289.406676666667,289.57628125,290.157919583333,291.95687,291.330108333333,291.268398333333,291.503709166667,289.6820875,293.2539575,291.40414625,292.2664525,293.877828333333,292.543528333333,290.908662083333,290.6322575,292.977703333333
2017-07-13,293.4379175,294.820503333333,294.216355,293.095682916667,291.917184583333,291.624739166667,291.40657875,291.970508333333,293.779964166667,293.075621666667,293.151433333333,294.8070875,292.01852625,296.84846625,294.522067916667,296.14967125,294.564930416667,295.05908875,293.273961666667,292.511239583333,292.847539583333
2017-07-14,297.266935833333,298.475333333333,297.4544975,295.982877916667,295.140904583333,294.87269375,293.736185416667,295.461295416667,296.75242625,296.3188275,295.887197083333,298.141904583333,295.718207916667,299.128388333333,297.434647916667,299.691255833333,294.012475416667,296.230652916667,295.872892916667,294.577130833333,293.307035
2017-07-15,298.87546625,299.381259166667,298.603885,297.84776125,297.152324166667,296.658555,295.229632083333,296.999415833333,298.928595833333,297.636432916667,297.941722083333,297.037377916667,294.914703333333,296.796507083333,296.323490416667,297.42247125,294.737168333333,295.49518625,296.105407083333,295.3164375,294.27769875
2017-07-16,298.833944583333,299.259402083333,299.525395833333,298.324242083333,294.748985416667,294.643900833333,295.086669583333,296.484554583333,298.286725416667,298.234935,297.591597916667,297.092244166667,293.65721875,299.696418333333,298.672187083333,298.693940416667,297.074941666667,298.111405,298.097722916667,297.230124166667,296.00370375
2017-07-17,296.915255833333,297.936392083333,298.456292083333,297.97848,293.401883333333,293.188769583333,293.041304583333,294.623790833333,297.990602083333,296.81386,297.629332916667,296.980680833333,293.1758175,296.50055,296.931287083333,298.21328875,296.336295416667,295.753627083333,297.1362225,296.974680833333,295.96205625
2017-07-18,295.30579875,295.314260416667,294.817833333333,294.20878375,292.956120833333,293.912127083333,293.189574166667,294.576100416667,295.46801625,294.507870416667,294.983514583333,295.723617916667,292.458517916667,294.107577916667,293.07109,296.3583575,293.836700833333,292.710050416667,292.5404625,293.0935925,293.96157125
