Date,FR10_TA,FRB0_TA,FRC1_TA,FRC2_TA,FRF2_TA,FRF3_TA,FRG0_TA,FRH0_TA,FRI1_TA,FRI2_TA,FRI3_TA,FRJ2_TA,FRK1_TA,FRK2_TA
2020-10-10,290.8110192916667,291.19551643055553,290.9353771944444,289.8303242777777,290.4995588749999,289.6951899305556,290.6167192361111,289.1538644305556,291.9554583611111,289.61921737499995,291.5669160416667,290.2216532638889,288.758242375,288.3763588055555
2020-10-11,290.5080602916667,290.88935313888885,290.67007958333323,289.6205271666667,290.24213541666654,289.48060440277783,290.3346290694445,288.89813116666664,291.7094055555555,289.35389125,291.31205915277786,289.94366129166673,288.50293543055557,288.14177477777775
2020-10-12,290.16828386111115,290.55018726388886,290.30817187499997,289.3087604027778,289.87484320833323,289.1183753888889,290.0778533888889,288.68582409722217,291.3423622499999,288.9749425416666,290.9840900416667,289.57957829166673,288.13278619444446,287.8235754722222
2020-10-13,290.0126803472222,290.3701846666666,290.0525251527777,288.9679980833333,289.67494156944434,288.8799805555556,289.9467828055556,288.6079570416667,291.09270462499995,288.7019422916666,290.80004615277784,289.2580754444445,287.83219966666667,287.4779933055556
2020-10-14,289.9810601805556,290.31923963888886,289.96214748611106,288.8273574861111,289.60960538888884,288.7898401805556,289.9319007916667,288.58310623611106,291.0183168888889,288.6140297777778,290.76160386111115,289.1462635277778,287.7367008611111,287.3006365277778
2020-10-15,289.9062548472222,290.2506005972222,289.84927370833327,288.6660089305555,289.5043725555555,288.6725188888889,289.8790117777778,288.549355375,290.9615627638888,288.54228465277777,290.70145227777783,289.08643777777786,287.6503901388889,287.1543276944445
2020-10-16,289.8258640277778,290.16572562499994,289.7214708472222,288.5284232916667,289.3986205972222,288.54783456944455,289.78787256944446,288.49543648611115,290.8650968055555,288.42775,290.60795825,288.9863405138889,287.5499470555555,286.9886763333334
2020-10-17,289.6047653888889,289.94960554166664,289.5406153333333,288.37187875,289.199552875,288.36790962500004,289.5670954861111,288.33101113888887,290.6856470694444,288.21970793055556,290.39470447222226,288.8658852222223,287.36082258333334,286.80520134722224
2020-10-18,289.29002016666675,289.6139365277778,289.2060430833333,288.05730981944447,288.8727290277777,288.04402715277786,289.28091983333337,288.1211259722222,290.401902736111,287.89591769444445,290.06126612500003,288.61672948611107,287.05138120833334,286.52770229166674
2020-10-19,288.9691245694445,289.2527665555555,288.79375524999995,287.62538580555554,288.50846198611106,287.65752290277777,289.0522300972222,288.00793216666676,290.03844965277773,287.4903284722222,289.7186357222223,288.2214143472222,286.62916088888886,286.13192627777784
