Date,TA_mean
2015-07-07,296.5290976785713
2015-07-08,291.35135577380953
2015-07-09,291.1981855654763
2015-07-10,294.3435051488095
2015-07-11,294.7250441369047
2015-07-12,292.9388098214286
2015-07-13,293.6186100297619
2015-07-14,293.885231309524
2015-07-15,295.9059917857144
2015-07-16,298.8530944940475
2015-07-17,297.65860630952375
2015-07-18,295.9142636309524
2015-07-19,295.28455821428577
2015-07-20,295.64508794642865
2015-07-21,297.18268098214287
2015-07-22,295.2350924404763
2015-07-23,293.89688610119043
2015-07-24,294.34787038690484
2015-07-25,291.06221556547604
2015-07-26,289.65120595238096
2015-07-27,291.8053270238095
2015-07-28,290.0405194047618
2015-07-29,289.216231875
2015-07-30,288.8170691666665
2015-07-31,289.59124559523826
2015-08-01,291.22748613095234
2015-08-02,294.07189461309525
