Date,AT,DE,FR,IT,NO,PT,SI,SK
2015-01-16,0.493277933128871,0.392874173448627,0.540091138258677,,0.283009652953344,0.214193801051807,0.368114909781576,0.488293155998892
2015-01-17,0.483900490107643,0.405550610376399,0.538317658845582,,0.285375009576343,0.198808324941255,0.486665083887306,0.491964533111665
2015-01-18,0.472480305490408,0.400615144964395,0.509885430806024,,0.287970198421819,0.217872328521875,0.604067742956632,0.536159600997506
2015-01-19,0.457985672620122,0.395473041709054,0.559902398035033,,0.291637937638857,0.245272462795121,0.53858024691358,0.467165419783874
2015-01-20,0.459874315954056,0.415628179043744,0.574692165987977,,0.287567992032483,0.342256909477453,0.494025007913897,0.465502909393184
2015-01-21,0.440083964760358,0.423199601559851,0.551152155646047,,0.281295487627365,0.309555779344299,0.437321937321937,0.480396231643114
2015-01-22,0.428973855914366,0.41503740674805,0.550453267403529,,0.276411552899717,0.264462347543919,0.419990503323837,0.468931837073982
2015-01-23,0.416615926995009,0.400138288402848,0.54822328873376,,0.276210449705049,0.183968333892805,0.409623298512187,0.405479357162649
2015-01-24,0.399244166817006,0.385673639369278,0.504177170189387,,0.268166321918333,0.167855544366118,0.39292497625831,0.403990024937656
2015-01-25,0.366035991340429,0.346139581213971,0.444198015642169,,0.264345361219643,0.191143560478908,0.387345679012346,0.412995289553893
2015-01-26,0.362929595886704,0.34268237114276,0.501575528407989,,0.270560407569141,0.21934094215061,0.394547325102881,0.380437794402882
2015-01-27,0.36500992242468,0.361322164292981,0.50376106909702,,0.275645445491458,0.247440416247063,0.348805001582779,0.355777223607648
2015-01-28,0.359105328041374,0.360564492200746,0.476811453687544,,0.286035777215966,0.219914400805639,0.33309591642925,0.356712385702411
2015-01-29,0.355784698418426,0.364980713801289,0.492437463641652,,0.288468168237187,0.213200738502853,0.309472934472934,0.359310058187864
2015-01-30,0.375571291117926,0.383715878263818,0.598155419817723,,0.288065961847851,0.225858789302898,0.372388414055081,0.349490856192851
2015-01-31,0.365778534487943,0.379683791115632,0.597294938917976,,0.276114686279016,0.322493566073627,0.322491294713517,0.357024106400665
2015-02-01,0.343336565638343,0.341951191081723,0.552897356344128,,0.268942005669195,0.417282085711089,0.288698955365622,0.347533942920477
2015-02-02,0.346480546034037,0.329868175652764,0.582501131148601,,0.280088868459358,0.437996531274477,0.32846628679962,0.349958437240233
2015-02-03,0.341960956762283,0.34828013733469,0.587813489755025,,0.27956216961618,0.443898959382343,0.32090851535296,0.338147686339706
2015-02-04,0.336407781586385,0.35741988809766,0.572821730980544,,0.279447253504941,0.440849837753161,0.29764165875277,0.340191188694929
2015-02-05,0.334252285164472,0.348709308240081,0.592390601771056,,0.276066804566,0.404288351795905,0.290004748338082,0.354391798282073
2015-02-06,0.322879081724698,0.334056565785012,0.591307930967617,,0.274094077989734,0.430821304688374,0.309512503956948,0.327514546965919
2015-02-07,0.30997805039389,0.32519763055273,0.552428737638162,,0.263464337700146,0.496615195255679,0.285889522000633,0.316015516763646
2015-02-08,0.295592413855313,0.3066373134961,0.474221931355439,,0.255343599172604,0.392455521987244,0.290677429566318,0.298004987531172
2015-02-09,0.298112484214324,0.293934384537131,0.500743326223256,,0.264249597793611,0.376468613628734,0.290756568534346,0.324916874480466
2015-02-10,0.296323440976607,0.31143502034588,0.502860190032965,,0.272782119053091,0.445297639028757,0.279479265590377,0.324050983651981
2015-02-11,0.308036788141199,0.316786410647677,0.488308771249434,,0.285489925687581,0.475676960948864,0.286483064260842,0.328657522859518
2015-02-12,0.304624075410428,0.325128751271617,0.475878256092043,,0.298255190377691,0.471341054044982,0.321343779677113,0.341922970351898
2015-02-13,0.310806798364303,0.332109401492031,0.468982289444768,,0.294434229679001,0.404833836858006,0.33198797087686,0.334545580493211
2015-02-14,0.293141875638944,0.31338483384198,0.447106683472303,,0.279380219106719,0.341613516840103,0.2911918328585,0.333956774729842
2015-02-15,0.278801341030729,0.288495570532384,0.457190065283433,,0.269152685206466,0.319402484055052,0.28747230136119,0.32630229980604
2015-02-16,0.280139364964821,0.288755192438115,0.525111498933488,,0.26430705584923,0.423855880049234,0.305159860715416,0.323981712385702
2015-02-17,0.298618001683805,0.307588377416073,0.539731594596342,,0.266097831916035,0.407001790309947,0.345837290281735,0.349404267110003
2015-02-18,0.304246346743641,0.330554319260766,0.564487589683925,,0.267400214510074,0.517931073067025,0.34085153529598,0.35231366029371
