Date,FR10_TP_acc,FRB0_TP_acc,FRC1_TP_acc,FRC2_TP_acc,FRD1_TP_acc,FRD2_TP_acc,FRE2_TP_acc,FRE2_TP_acc,FRF1_TP_acc,FRF2_TP_acc,FRF3_TP_acc,FRG0_TP_acc,FRH0_TP_acc,FRI1_TP_acc,FRI2_TP_acc,FRI3_TP_acc,FRJ1_TP_acc,FRJ2_TP_acc,FRK1_TP_acc,FRK2_TP_acc,FRL0_TP_acc
2022-11-05,0.01261061344140072,0.007360851066951833,0.017905800199392613,0.012814234698839392,0.01730308907298081,0.016309552753485924,0.01619692265592189,0.01619692265592189,0.00742635556777017,0.017610552696731185,0.017582240953688242,0.009278554445884364,0.015045835453742747,0.005277634980892517,0.007830777620744758,0.008960280575023039,0.01300974448465378,0.005579301665725059,0.005300254634115082,0.01144923428950257,0.01318888870434443
2022-11-06,0.011862880659792218,0.007171063537036932,0.017241376688004222,0.012606681182472058,0.01777550183218581,0.016944019107629923,0.016542032331634392,0.016542032331634392,0.007277354503971078,0.01758853373567289,0.01758984854871095,0.009867706044948325,0.01563552940394589,0.00523660963521235,0.007502540024650893,0.009035984779250666,0.013009644128857844,0.005510625819374643,0.005276424672026332,0.011273740941857737,0.013182281993320681
2022-11-07,0.011849843941278927,0.006982265175673365,0.01721195581371118,0.011903779400715391,0.017304188563695918,0.01613276249238934,0.015558730046345948,0.015558730046345948,0.007154373075230244,0.017495403517422622,0.017596307119899866,0.009901588042285327,0.015608644080755355,0.0052211732292956016,0.0073961354592992756,0.009064713823835668,0.013009715464000428,0.005386775048797377,0.005241077790312125,0.010662436581597812,0.013177593396361514
2022-11-08,0.011855643717670549,0.007027443585679132,0.017358942312486178,0.011519074383941374,0.017368001587218584,0.016151144087176925,0.015562436040483865,0.015562436040483865,0.007141562373305911,0.017588344603284626,0.01769615251740147,0.009986598003895328,0.015899521448452913,0.005240161659776367,0.007420229238060109,0.009325448247278269,0.013177695706798314,0.005414984019015293,0.00529572551860921,0.010321338891358712,0.013191710860503556
2022-11-09,0.011874636014962634,0.007014633134626716,0.017746574914777775,0.012083435258107974,0.017298677701970334,0.016069504117665757,0.015526538449878866,0.015526538449878866,0.007721200829823971,0.017732352935176377,0.018096109303513682,0.01002705104253033,0.01579946780324673,0.005498421559281368,0.007680875830020909,0.009407659332118772,0.013816034114822065,0.00575037697099446,0.0058108070873398865,0.011482478914483646,0.01361657602129664
2022-11-10,0.011873952585151924,0.006996895825061441,0.017682653954308857,0.011763185719590924,0.016778047602854285,0.0156312249889573,0.014925290075267458,0.014925290075267458,0.007714251001997595,0.016946188269185734,0.018093868494047892,0.010027231981407415,0.015303086491010646,0.005496792160194327,0.00767030658187891,0.009407965041859681,0.013824211678909525,0.005755037751515669,0.005824485028103138,0.011472644704179188,0.013660172717050015
2022-11-11,0.011875416123073756,0.006996354890916484,0.017621872950076983,0.011756447892526299,0.016660147272022786,0.015546634060316632,0.01484784939598329,0.01484784939598329,0.007714397816755347,0.016804769835761357,0.017996177876285307,0.010027911647160126,0.015193601151747312,0.005496070996356003,0.007670306581878911,0.009408041184365433,0.013833048655449234,0.005751773013524045,0.005824517068123911,0.011472749200130148,0.01363729402899489
2022-11-12,0.011875416123073754,0.006996337263260285,0.017615961152853982,0.011756470798125968,0.01664905465202195,0.015533132339877508,0.014840621250417458,0.014840621250417458,0.007714431055528015,0.0167972222690644,0.017957736944061595,0.010027911647160128,0.015173927132739688,0.005471918202781837,0.0076703072140800795,0.009408041184365435,0.01383837679530865,0.005735544841278853,0.005824525703529078,0.011472800485072732,0.013621332451512223
2022-11-13,0.011874646283826963,0.006678966070796893,0.017600093367237356,0.011667097000969883,0.016631427682377575,0.015514638818753508,0.014825711100656582,0.014825711100656582,0.007654159908775433,0.016782698456341068,0.01746826851150527,0.010027915172638987,0.015172769158233729,0.005361036321311037,0.007399029537203479,0.009408041184365437,0.013841622847428856,0.005674266584456353,0.005686839846146829,0.011384221656317106,0.0136266695028676
2022-11-14,0.011898494909571544,0.006595263517831127,0.017793308040538695,0.010635195080553876,0.016691812171934658,0.015530379759232675,0.01481921383031304,0.01481921383031304,0.007357064050302799,0.01684507230591786,0.017477138492514938,0.010163479492110189,0.015406482659188729,0.005309000302998537,0.00722507610732848,0.009530548579377539,0.014190618702088783,0.005557101894643853,0.005608440833241829,0.010400465220221308,0.01375836495541806
2022-11-15,0.012151070457475708,0.006608984150943427,0.018142591479413626,0.010096122967970477,0.01702438481031501,0.015797569354150724,0.015056083464921492,0.015056083464921492,0.007301297364302799,0.01720397641676116,0.017539156477844136,0.01061465625915179,0.016050658176612564,0.005604127333942637,0.007419732777509979,0.00989380496637334,0.014451906099185167,0.005730275911492583,0.005609110812246029,0.010414679531513007,0.01418075261941815
2022-11-16,0.012499189844029207,0.0068394516488046765,0.01836826184217724,0.010315380834149075,0.017508909303917526,0.016179637992582433,0.015402873551349373,0.015402873551349373,0.007480370625552999,0.017484731366609007,0.01722607179035714,0.011087018790855125,0.016569187172738396,0.005739846062337988,0.007625666461821963,0.010305323945652442,0.014510444797591877,0.0057920373461384156,0.005603396936448929,0.010644429628910039,0.0142216249750298
2022-11-17,0.012551973008118307,0.007015910840327653,0.018635935384948076,0.010766616193440744,0.017767491904947075,0.0163145112581581,0.015574345877910307,0.015574345877910307,0.007286635819927999,0.017803494411964788,0.01764904865556299,0.01128040529853301,0.01672047204000628,0.005996433758634989,0.00807203199394023,0.010570305553623727,0.014683881042881104,0.006100990194413792,0.005696244623236429,0.010896660071427474,0.01426830352216826
2022-11-18,0.011969121949187974,0.007034157326265572,0.018441773569839573,0.010977127981307835,0.017906787744185342,0.0165178053959497,0.015705509729261075,0.015705509729261075,0.0070933998850113,0.017969309740732502,0.017940610651471255,0.011193904880850543,0.016784988569946847,0.0062798268733432906,0.008158929400131899,0.010503570516225458,0.014721452644710269,0.00631267571789638,0.004927703212403096,0.011125556080919554,0.01429130787459226
2022-11-19,0.011975350228365888,0.007047570406714948,0.018441852425535407,0.011008512937323545,0.01791908470681055,0.016578703215983617,0.015743649077577325,0.015743649077577325,0.006814831675011299,0.018043044604146335,0.018042107061532687,0.011192918189662355,0.01679707565499743,0.006543297138634893,0.008185605385073567,0.010521530540227598,0.014776634403968356,0.0066081824106604525,0.0047662441679197625,0.011147801810939304,0.01429776918568372
2022-11-20,0.011838416305772623,0.007168356299171024,0.018085656616368705,0.011218362429535587,0.018049278569248848,0.016723832082412033,0.01587345885462666,0.01587345885462666,0.006962809708790149,0.018197792800965364,0.01818352020426806,0.011072967972444657,0.016854578622096352,0.006603215786264061,0.008272801689262152,0.010394707672279986,0.014716210025851606,0.006646817868832954,0.0048489980167118205,0.011214709168293473,0.014292004795572095
2022-11-21,0.011994785907917221,0.007387942931913525,0.017756180889039207,0.01148234756172224,0.018152332878223747,0.01689098245455773,0.016055475957805678,0.016055475957805678,0.00691569364784135,0.01838150639375807,0.018437309252312243,0.011336663838913739,0.017051526012507753,0.007383275819938078,0.008526912017610754,0.010653826329820945,0.015167163314964704,0.007498386893925708,0.0048543849195070215,0.011476985255004023,0.014562511069971296
2022-11-22,0.011851458975403656,0.007459501232125319,0.017506684034176708,0.011785262055448715,0.01801584985891755,0.016817705070220228,0.01589084041436778,0.01589084041436778,0.006400539933949749,0.01847588281685293,0.018596396810174744,0.011409243264538741,0.01691832328928104,0.007859576728050079,0.008735268758444057,0.010835348871654247,0.015244247932600957,0.007787147470091633,0.004931377296536188,0.0118114630178542,0.014773057726450654
2022-11-23,0.011634849253743055,0.007569736034725395,0.017380936248163007,0.011964366340825884,0.01788957996968265,0.01670638015936273,0.01573116529014238,0.01573116529014238,0.006541992407258083,0.01818946010501963,0.018811520656032074,0.011537428903126208,0.017080800477853254,0.00827623438139598,0.009030196301419057,0.011066744188192172,0.015408076675811757,0.007996807343258833,0.005204578177046538,0.011991691608019741,0.01474506925578803
2022-11-24,0.011611865635316972,0.00735152022380692,0.01637063091671009,0.011797103654903784,0.01798811915699708,0.016780707372259025,0.015775410070619045,0.015775410070619045,0.006617969702149208,0.01820839419112234,0.01890661598699557,0.011678998422044892,0.01704567802555865,0.008223309617965606,0.008860084517074058,0.011108374046225881,0.015396440229537841,0.007470214597177584,0.005209817109047663,0.011293173144211266,0.014739399014157073
2022-11-25,0.01155930870120748,0.007313226845463983,0.016149032993272625,0.011684859940430583,0.017853860883134617,0.01666318568727992,0.015676535222414845,0.015676535222414845,0.006707752296198167,0.018226656386724837,0.019016372264289736,0.011704804120273422,0.016842980582687236,0.00858798559315432,0.008768515556967359,0.011215346754398597,0.015563897924598747,0.007790245367690084,0.005320139576833763,0.010959326113061333,0.014725514686975198
2022-11-26,0.011558799477336396,0.0070113256126328,0.01614908433432733,0.011483442201528651,0.0175771566523251,0.01621475699706801,0.014887526252936871,0.014887526252936871,0.00670582798287875,0.01745619859052389,0.01902046627826903,0.01168589114555513,0.0169317007237313,0.008502165332260687,0.008572470593824408,0.011212550343146974,0.015501188923489081,0.007776911658459708,0.005303523884148429,0.010912468293008501,0.014655439102046863
2022-11-27,0.01172169672425076,0.0068635251163602995,0.016163030290462375,0.0107270301850058,0.01819642513106843,0.016974614638912932,0.015250311718387494,0.015250311718387494,0.0067230880882259165,0.01746184531918768,0.019020041941650443,0.01211331280153763,0.017579039048238387,0.00829607745886025,0.008310437931073224,0.01126628229477385,0.015108491667673564,0.007594957276295791,0.005273519148608762,0.010633259044703691,0.014578187015564199
2022-11-28,0.01134121707383826,0.006427483813576899,0.015803184749450673,0.0096306366963975,0.01824815845659343,0.017003362014182472,0.015411502646789386,0.015411502646789386,0.006827291699419017,0.017656273668325763,0.01865890669312024,0.012197163796737633,0.01761778281505922,0.00856541273927695,0.007873444440364823,0.011501172990068097,0.015573129018363115,0.007661233087170791,0.005569348688085262,0.010056271140353693,0.014917916390569996
2022-11-29,0.011341095611534097,0.0063826384420519,0.015843440160851673,0.0094030959784059,0.018247364335844014,0.016969298404445596,0.01539616540636647,0.01539616540636647,0.0069134925814060165,0.017659877534695344,0.018660055565439825,0.012200513484600384,0.01763061024287105,0.00799060706040195,0.007798231892344024,0.011521350999914266,0.01561735251452251,0.007190052604004191,0.005644068706034179,0.009880583901270392,0.015017408659151757
2022-11-30,0.011348035113842431,0.006379705573114004,0.015850649628535007,0.009416401299326941,0.0182510324155311,0.016971782053648094,0.015397746469428136,0.015397746469428136,0.0068872530565915165,0.017644146798014095,0.018286237893737994,0.012203974860467717,0.017632706071007635,0.007901074715785075,0.007800728836458608,0.011525844648013931,0.015611933854273553,0.007042362733387558,0.005612787899519179,0.009815144350681225,0.015022046185894715
2022-12-01,0.011359509756606599,0.006141381821014037,0.015868475805798383,0.009009072402773391,0.018252761586196094,0.01697382398259226,0.015401317675652301,0.015401317675652301,0.006803270342527892,0.017653808709440638,0.01797975442628386,0.0122077565523598,0.01763476017843502,0.007831348347591657,0.007363247058792425,0.011532818559819765,0.015613531688812304,0.007008666584805558,0.005570722575769179,0.009584855110883358,0.015085428628472215
2022-12-02,0.0114406412093941,0.006127615013576537,0.01589802848821251,0.008754112100048424,0.01826332313175609,0.01698694970124726,0.015440793266018967,0.015440793266018967,0.006856159919339558,0.01772576449226147,0.01718272271925056,0.012211490688038966,0.0176224436156576,0.007821866427562054,0.007305917872638258,0.011558565572123931,0.015603296806085012,0.007008930715043475,0.005590238718488346,0.009496163882075059,0.015080474043413008
2022-12-03,0.011461918060278685,0.006211292263022371,0.015979516367118567,0.008736618082028049,0.01827477549066751,0.016990549694838923,0.015442717467484214,0.015442717467484214,0.006613525333618358,0.01772588696502903,0.017064536226409358,0.012169797139211052,0.017630431810007594,0.007950712798947554,0.007438014995329358,0.011613037214029148,0.015902920574048303,0.007166539146985308,0.005675674434602545,0.009797530769906693,0.015755645767887214
2022-12-04,0.011502913658313562,0.006328559787908287,0.016327229033368567,0.008928655941281317,0.018281470206896674,0.01700434869863434,0.01548255462452963,0.01548255462452963,0.0063477698262610575,0.01790778491152903,0.01673484947875596,0.012185954535364677,0.01763685454158672,0.008006924055009303,0.007517178786417983,0.011611406299202898,0.015894017180814603,0.007260957384476309,0.005670312484727546,0.010324421082119,0.016370025910571816
2022-12-05,0.011553786045542563,0.006349413348873621,0.016352866491546693,0.008983270379494817,0.01828307130452584,0.017021998546200005,0.015631819787415395,0.015631819787415395,0.006025332793781958,0.018067697435770694,0.016266719183155958,0.01218962437560301,0.01763968702903672,0.008006576170901317,0.0075188901668861085,0.011612126135661233,0.015837392468322647,0.007263435842356341,0.005647583306681129,0.01036783969812575,0.016299214780093524
2022-12-06,0.011555183048365022,0.006348549093351996,0.01635438298435078,0.008976714027727234,0.01827724360245834,0.017019682436778753,0.015631758342156896,0.015631758342156896,0.0059494317599469585,0.018070706798270022,0.01621807144299254,0.012191007891880885,0.017590986001556487,0.0080059332639359,0.007501176596688608,0.011612236592374607,0.015802800153729465,0.007259369191933591,0.005643422061725588,0.010363838696895208,0.01620612346641865
2022-12-07,0.011556443887931608,0.006349653288737746,0.01635967697144078,0.008977373109585816,0.017950898191283367,0.01685682049354422,0.015555897809978977,0.015555897809978977,0.005963872017242792,0.01803335816131294,0.01622566427408337,0.012195259299283634,0.016951666447977357,0.007963985850629691,0.0074708788979741085,0.011614671200247315,0.01579826336204913,0.0071885051013946336,0.005565492684721213,0.010348109116488126,0.016181778588157558
2022-12-08,0.011560945358721193,0.0063495345776723704,0.016360583464123283,0.008956070993600296,0.01790969868043433,0.01677537268888582,0.015440091547058978,0.015440091547058978,0.005884530315408333,0.01721255732754926,0.015914517706062743,0.012196343354166427,0.016948896401140855,0.007969985004476791,0.007392912312937441,0.011628602586594315,0.0158907860004823,0.007055710648055917,0.0055746642723556086,0.010138171836281492,0.01626761028611964
2022-12-09,0.011562917286642027,0.0063534163178073704,0.016404898203292034,0.00915949604651368,0.017825196707598703,0.01675118966443461,0.015435892501358975,0.015435892501358975,0.00591705398394775,0.017204485244314633,0.015883667449111075,0.012196770528150122,0.01653379518324919,0.008208324854422015,0.007421684394344733,0.011683910994028898,0.016143081637585648,0.007255775741002083,0.00571502498096215,0.010641975371531491,0.017157574671940238
2022-12-10,0.01156543277133332,0.006259284481281413,0.016446842061861616,0.009244980510263229,0.017518266875031205,0.016712144968688027,0.015311427556629193,0.015311427556629193,0.005747609615292783,0.01686371809976725,0.015904465676823576,0.012217471310957101,0.016015315557950056,0.008162559091565245,0.007305697912498317,0.011684879173603065,0.016176965039578568,0.007299330794983333,0.005524992124060934,0.010709280344948158,0.016992851898010242
2022-12-11,0.011565551906224405,0.006238414291456662,0.0164455069117237,0.009220142988180729,0.01726269081325207,0.016416354767726436,0.015145656166863801,0.015145656166863801,0.005064874923188616,0.016548679208923167,0.015910532090908994,0.012286922292618768,0.015702376078912558,0.008000530755586979,0.007098973563664316,0.011745106171732233,0.01612739477206611,0.007264532946967983,0.005026946135117083,0.010694073961054616,0.016927291459699824
2022-12-12,0.011565837293656032,0.006232919366746579,0.016443849644977963,0.009212347335808812,0.017094237049476227,0.01616084504667394,0.014717470186477592,0.014717470186477592,0.004972788735068325,0.016111841823566325,0.015910292075430998,0.012305557902064017,0.01555027678073734,0.00829363924036668,0.007257693619744859,0.011923514720579573,0.01623836521311883,0.007403125035608116,0.005120020881833225,0.010685316896346617,0.016981357329052368
2022-12-13,0.011566286153739367,0.006026793825987287,0.016449552805872552,0.00906368366402423,0.016984802899376227,0.015985457241115237,0.014463723315953842,0.014463723315953842,0.004919758658911533,0.015835541605218963,0.015910852828861746,0.011920880223706843,0.01558148175097254,0.00839272047947518,0.007309050644360458,0.011889441001255406,0.01581267638905633,0.0075868064826827,0.005458926313089892,0.011077711464396409,0.016946629589791564
2022-12-14,0.01176191177160727,0.005763190354003987,0.01674841747069335,0.00898534671345343,0.01722707392110911,0.016102792712135237,0.014515610731198177,0.014515610731198177,0.005099044683090733,0.015515993944651266,0.016191013591637583,0.012143365328427067,0.015887862165264208,0.00847079079665618,0.0071106112636521585,0.011938739990074382,0.015828757534104627,0.0077233607149489,0.005501619424123225,0.01104645969339641,0.016988997348113502
2022-12-15,0.011762027856120271,0.005461003051834471,0.016840259480605854,0.008962766946503428,0.017170345110466154,0.01599917151637276,0.01438490366429551,0.01438490366429551,0.005237301347516449,0.015331990057572098,0.016192917960468248,0.011964421724202017,0.01595312267051129,0.008680961163299078,0.007203838271731292,0.011770259653252282,0.01636041237053483,0.008008424903637908,0.006099593094777324,0.011803779376827533,0.017893162757841627
2022-12-16,0.011762053552781773,0.005306534888022596,0.016880854634623407,0.009032015286742679,0.017170321512382736,0.01599849021174341,0.014380629157157383,0.014380629157157383,0.005117755915995616,0.01532944396875989,0.01619321443709346,0.011683216053140592,0.015929626291613704,0.008894047730690378,0.007212640987811208,0.01167117769412249,0.015405810957509895,0.008136774777250375,0.006183320257862575,0.0119886187979358,0.017318625995037695
