Perimètre juridique;Perimètre spatial;Spatial perimeter;Filière;Sector;Centrale;Catégorie centrale;Power station category;Année de mise en service;Puissance installée;Réserve secondaire maximale ;Unité;Département;Code postal;Commune;Coordonnées X_WGS;Coordonnées Y_WGS;point_gps_wsg_84
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;CURBANS;Lac;Lake;1966;139.0;;MW;HAUTES-ALPES;05130;TALLARD;44.4472890333;6.05982082374;44.4472890333, 6.05982082374
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;RANDENS;Eclusée;Lock;1954;124.0;;MW;SAVOIE;73220;RANDENS;45.5274668079;6.3211414927;45.5274668079, 6.3211414927
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SERRE-PONCON;Lac;Lake;1960;384.0;45.0;MW;ALPES-DE-HAUTE-PROVENCE;04340;BREOLE;44.4693015247;6.27264740626;44.4693015247, 6.27264740626
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MARCKOLSHEIM;Fil de l'eau;As the water flows;1961;156.2;;MW;BAS-RHIN;67390;MARCKOLSHEIM;48.1541052048;7.58836061302;48.1541052048, 7.58836061302
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINT-PIERRE-COGNET;Eclusée;Lock;1957;101.0;;MW;ISERE;38710;SAINT-JEAN-D'HERANS;44.8720902578;5.77292510418;44.8720902578, 5.77292510418
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAUSSAZ II (LA);Eclusée;Lock;1973;150.0;;MW;SAVOIE;73140;SAINT-MICHEL-DE-MAURIENNE;45.2059393262;6.47524861528;45.2059393262, 6.47524861528
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;GRAND-MAISON;Pompage mixte;Mixed pumping;1985;1714.0;210.0;MW;ISERE;38114;VAUJANY;45.1457930893;6.05115827544;45.1457930893, 6.05115827544
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;VOGELGRUN;Fil de l'eau;As the water flows;1959;140.5;;MW;HAUT-RHIN;68600;VOGELGRUN;48.0204002225;7.57406533673;48.0204002225, 7.57406533673
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;PRAGNERES;Lac;Lake;1955;189.2;35.0;MW;HAUTES-PYRENEES;65120;GEDRE;42.8208348511;0.0107459425422;42.8208348511, 0.0107459425422
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;COMBE-D'AVRIEUX;Lac;Lake;1975;123.0;26.0;MW;SAVOIE;73500;AVRIEUX;45.2158999694;6.7170123428;45.2158999694, 6.7170123428
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MONTPEZAT;Lac;Lake;1954;131.8;50.0;MW;ARDECHE;07560;MONTPEZAT-SOUS-BAUZON;44.7040951098;4.23126533041;44.7040951098, 4.23126533041
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;KEMBS;Fil de l'eau;As the water flows;1932;162.1;;MW;HAUT-RHIN;68680;KEMBS;47.6543552963;7.51876894514;47.6543552963, 7.51876894514
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MONTEYNARD;Lac;Lake;1962;366.0;67.0;MW;ISERE;38770;MONTEYNARD;44.9617121786;5.68839288081;44.9617121786, 5.68839288081
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;VOUGLANS;Lac;Lake;1968;285.0;38.0;MW;JURA;39240;CERNON;46.3965074794;5.66337047195;46.3965074794, 5.66337047195
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;GRANDVAL;Lac;Lake;1959;74.1;20.0;MW;CANTAL;15260;LAVASTRIE;44.9221545252;3.07405419788;44.9221545252, 3.07405419788
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MONTEZIC;Pompage pur;Pure pumping;1982;910.0;75.0;MW;AVEYRON;12460;MONTEZIC;44.7292886764;2.64376810981;44.7292886764, 2.64376810981
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;MALGOVERT;Lac;Lake;1953;297.0;85.0;MW;SAVOIE;73700;SEEZ;45.6178573824;6.79057917975;45.6178573824, 6.79057917975
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINT-CHAMAS;Lac;Lake;1966;159.0;;MW;BOUCHES-DU-RHONE;13250;SAINT-CHAMAS;43.527494806;5.07334414526;43.527494806, 5.07334414526
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SAINT-GUILLERME II;Lac;Lake;1983;116.0;30.0;MW;ISERE;38142;AURIS;45.0290810716;6.07329092525;45.0290810716, 6.07329092525
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;PASSY;Fil de l'eau;As the water flows;1951;104.0;;MW;HAUTE-SAVOIE;74190;PASSY;45.9174023363;6.72729194677;45.9174023363, 6.72729194677
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;OTTMARSHEIM;Fil de l'eau;As the water flows;1952;156.5;;MW;HAUT-RHIN;68490;OTTMARSHEIM;47.7739509952;7.52228961614;47.7739509952, 7.52228961614
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SISTERON;Lac;Lake;1975;240.0;;MW;ALPES-DE-HAUTE-PROVENCE;04200;SISTERON;44.2078809351;5.91857630302;44.2078809351, 5.91857630302
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;REVIN;Pompage pur;Pure pumping;1976;800.0;145.0;MW;ARDENNES;08500;MAZURES;49.9255656349;4.61327746046;49.9255656349, 4.61327746046
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;VILLARODIN;Lac;Lake;1968;364.0;100.0;MW;SAVOIE;73500;AVRIEUX;45.2126250359;6.71626869424;45.2126250359, 6.71626869424
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;SARRANS;Lac;Lake;1934;183.0;25.0;MW;AVEYRON;12420;SAINTE-GENEVIEVE-SUR-ARGENCE;44.8286856441;2.74004741274;44.8286856441, 2.74004741274
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;CHASTANG (LE);Eclusée;Lock;1951;293.0;20.0;MW;CORREZE;19220;SERVIERES-LE-CHATEAU;45.1509472837;2.00913485805;45.1509472837, 2.00913485805
EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Hydraulique;Hydraulic;ASTON;Eclusée;Lock;1947;104.0;;MW;ARIEGE;09310;ASTON;42.7766740737;1.67713212735;42.7766740737, 1.67713212735
