code;libelle;etat;insee_commune;nom_commune;mo_raison_sociale;x;y;precision_coord;categorie;puissance_maximum;productible_moyen;debit;coef_energetique;nb_turbines;type_turbine;titre;date_echeance_titre;hauteur_de_chute
09261003;Centrale Martinet;EXPL;09261;Saint-Girons;SARL LA CENTRALE DU MARTINET;547692.45;6211143.84;0;Ouvrage fonctionnant au fil de l'eau;0.239999994635582;930787;;;;;;;3
09261004;Centrale L'Arial (aval);EXPL;09261;Saint-Girons;FORCES HYDROELECTRIQUES DE L'ARIAL;548820.25;6210497;0;Ouvrage fonctionnant au fil de l'eau;0.282999992370605;;17;;;;;;1.70000004768372
09261005;Centrale de l'Arial amont;EXPL;09261;Saint-Girons;4EME MITAN;548850;6210368;0;Ouvrage fonctionnant au fil de l'eau;0.168999999761581;;10;;;;Autorisée;;1.72000002861023
09264001;Centrale de la Societe du Vieux Moulin;EXPL;09264;Saint-Jean-de-Verges;SOCIETE DU VIEUX MOULIN;586552.85;6213594.26;0;Ouvrage fonctionnant au fil de l'eau;0.441000014543533;2942225;;;;;Autorisée;2013-12-24;4.19999980926514
09267001;BUSCARECH;EXPL;09267;Saint-Lary;ESTAQUE Gilberte;527755.03;6205377.85;0;Ouvrage fonctionnant au fil de l'eau;0.0979999974370003;361264;;;;;;;
09268001;Centrale de Tondut;EXPL;09268;Saint-Lizier;HBB TONDUT;547858.56;6212957.5;0;Ouvrage fonctionnant au fil de l'eau;1.02499997615814;3026831;25.7999992370605;;;;Autorisée et fondée en titre;;4.05000019073486
09268002;Usine du Pont du Baup;EXPL;09268;Saint-Lizier;LE MOULIN DE LA FONDERIE;548371.5;6211936.5;0;Ouvrage fonctionnant au fil de l'eau;0.119999997317791;508739;;;;;;;1
09268003;Centrale Amont de Saint-Lizier;EXPL;09268;Saint-Lizier;HBB AMONT;547937;6212693;0;Ouvrage fonctionnant au fil de l'eau;1.03999996185303;;28;;;;Autorisée;2038-10-13;3.79999995231628
09282001;Centrales regie municipale Saverdun;EXPL;09282;Saverdun;REGIE MUNICIPALE D'ELECTRICITE;584287.7;6238436.74;0;Ouvrage fonctionnant au fil de l'eau;;3116953;;;;;;;3
09282002;Usine du moulin;EXPL;09282;Saverdun;REGIE MUNICIPALE D'ELECTRICITE;584316.6;6238515;0;Ouvrage fonctionnant au fil de l'eau;;775712;;;;;;;2.79999995231628
09285001;Centrale de L'Arros;EXPL;09285;Seix;SOCIETE HYDRO ELECTRIQUE DE L'ARROS;548702.48;6193708.23;0;Ouvrage fonctionnant au fil de l'eau;0.5;1905228;;;;;;;200
09285002;Centrale d'Estours;EXPL;09285;Seix;JACQUES TARRENE INVESTISSEMENTS;548915.94;6193736;0;Ouvrage fonctionnant au fil de l'eau;;9262310;;;;;;;107.599998474121
09285003;Moulin Lauga;EXPL;09285;Seix;S.A.R.L. VEREL;551723.17;6195415.15;0;Ouvrage fonctionnant au fil de l'eau;;634281;;;;;;;9
09289001;Centrale de Pourlande;EXPL;09268;Saint-Lizier;SNC DUMONT INVESTISSEMENT;547535.1;6213441;0;Ouvrage fonctionnant au fil de l'eau;;1109938;;;;;;;3.79999995231628
09289002;Centrale de Lorp;EXPL;09289;Lorp-Sentaraille;SNC DUMONT INVESTISSEMENT;547070.44;6214187;0;Ouvrage fonctionnant au fil de l'eau;;974400;;;;;;;4
09290001;BOCARD;EXPL;09290;Sentein;ELECTRICITE DE FRANCE;531239.6;6195788;0;Ouvrage fonctionnant au fil de l'eau;0.300000011920929;1553667;0.5;"0,270000";1;;Autorisée;1994-10-16;129.399993896484
09290002;EYLIE;EXPL;09290;Sentein;ELECTRICITE DE FRANCE;531286.7;6194942.5;0;Ouvrage de type Lac;37.2999992370605;30410668;3.59999990463257;"2,220000";3;Pelton;Concédée;2010-12-31;1045.5
09295001;Centrale de Sabaneich;EXPL;09295;Siguer;SABANECH ENERGIE;582590;6184716;0;Ouvrage fonctionnant au fil de l'eau;1.64999997615814;4050634;0.400000005960464;;;;Autorisée;2026-01-18;410
09296001;Centrale de Sinsat;EXPL;09296;Aulos-Sinsat;SOC AMENA FORCE HYDRO CONFL ARIEGE AST;590434;6189890;0;Ouvrage fonctionnant au fil de l'eau;1.14999997615814;5253275;;;;;Concédée;2028-12-31;11
09299001;Centrale La Claire;EXPL;09299;Soueix-Rogalle;S.A.S. C.H LA CLAIRE;554030.9;6201095.5;0;Ouvrage fonctionnant au fil de l'eau;;1524068;;;;;;;4.57999992370605
09302001;Moulin de Matche;EXPL;09334;Val-de-Sos;SNC MATCHE;575725.25;6187557;0;Ouvrage fonctionnant au fil de l'eau;0.800000011920929;2111539;;;;;;;57
09303001;PISCICULTURE DES CASCADES;OCCA;09306;Tarascon-sur-Ariège;PISCICULTURE DE LA COURBIERE;584035;6196119;0;;;;;;;;;;
09306001;Centrale de Lacombe;EXPL;09306;Tarascon-sur-Ariège;SOC. EXPLOITATION DU BARRAGE DE LACOMBE;583822.4;6196226.28;0;Ouvrage fonctionnant au fil de l'eau;0.200000002980232;942984;;;;;;;20.5
09306002;Centrale du Saut du Teil;EXPL;09306;Tarascon-sur-Ariège;REGIE MUNICIPALE D'ELECTRICITE DE TARASCON SUR ARIEGE;585186.3;6193811.5;0;Ouvrage fonctionnant au fil de l'eau;0.699999988079071;3305731;;;;;;;30
09306003;Centrale St Quitterie;EXPL;09306;Tarascon-sur-Ariège;REGIE MUNICIPALE D'ELECTRICITE DE TARASCON SUR ARIEGE;585754.8;6194261;0;Ouvrage fonctionnant au fil de l'eau;;2244327;;;;;;;9
09307001;Centrale de Roquelaure;EXPL;09307;Taurignan-Castet;S.A.R.L. CENTRALE HYDROELECTRIQUE DE ROQUELAURE;544966.54;6217163.19;0;Ouvrage fonctionnant au fil de l'eau;;2139962;;;;;;;2.70000004768372
09320001;Centrale D'Urs;EXPL;09320;Urs;ENERGIE ELECTRIQUE DE PALOUMA;596110.5;6186835.5;0;Ouvrage fonctionnant au fil de l'eau;0.579999983310699;731538;11.5;;;;Autorisée;2024-08-04;5.19000005722046
09322001;SAINT-LIZIER D'USTOU;EXPL;09322;Ustou;SOCIETE ELECTRIQUE DE SERAC;558247.76;6190238.13;0;Ouvrage fonctionnant au fil de l'eau;0.486000001430511;1388176;;;;;;;3
09324001;Centrale de Las Rives;EXPL;09324;Varilhes;SOCIETE HYDROELECTRIQUE DE LA MOYENNE ARIEGE;587265.61;6216335.72;0;Ouvrage fonctionnant au fil de l'eau;2.40000009536743;8597706;;;;;;2025-10-27;6.09999990463257
09334001;Centrale Le Goulier;EXPL;09334;Val-de-Sos;COMMUNE DE VAL-DE-SOS;576617.1;6186384.5;0;Ouvrage fonctionnant au fil de l'eau;0.800000011920929;2087301;15;;2;Pelton;Concédée (autorisable);2004-12-31;290
11033001;Centrale du Bosquet;EXPL;11033;Belpech;MOULIN DU BOSQUET;597172.7;6234104.5;0;Ouvrage fonctionnant au fil de l'eau;0.483000010251999;1207189;14;;2;Francis;Autorisée;2055-07-26;4
12006001;ALRANCE;EXPL;12006;Alrance;ELECTRICITE DE FRANCE;675208.56;6335985;0;Ouvrage de type Lac;19.0200004577637;15000200;24.2999992370605;"0,138000";1;Francis;Concédée;2027-12-31;79.8000030517578
12024001;Moulin de Paraire;EXPL;12024;Belcastel;MONSIEUR CLAUDE CAYLA;646410.75;6365332;0;Ouvrage fonctionnant au fil de l'eau;0.150000005960464;292732;;;;;;;2.40000009536743
12027001;Centrale Coudoustrine;EXPL;12027;Bessuéjouls;S.E.M.C.;678738.56;6381305.5;0;Ouvrage fonctionnant au fil de l'eau;0.150000005960464;843327;6;;2;Kaplan;Autorisée;;2.29999995231628
12028001;Centrale de Penchot;EXPL;12130;Livinhac-le-Haut;MCP MICRO CENTRALE PENCHOT;636671.2;6387997.5;0;Ouvrage fonctionnant au fil de l'eau;3.82599997520447;7591581;120;;;;Autorisée;;3.15000009536743
12029001;Moulin de la Vicasse;EXPL;12029;Bor-et-Bar;SICAE DU CARMAUSIN;626660.2;6343021;0;Ouvrage fonctionnant au fil de l'eau;0.444000005722046;1018804;;;;;;;3
12035001;LA CROUX;EXPL;12035;Brasc;ELECTRICITE DE FRANCE;662320.4;6320245.42;0;Ouvrage fonctionnant par éclusées;16.6000003814697;43717400;160;"0,032000";3;Kaplan horizont. & bulbe à pâles mobiles;Concédée;2059-12-31;13.8000001907349
12036001;SARRANS;EXPL;12036;Brommat;ELECTRICITE DE FRANCE;679453.29;6414425.37;0;Ouvrage de type Lac;183;219321136;240;"0,208000";5;Francis;Concédée;2009-12-31;89
12036002;BROMMAT;EXPL;12036;Brommat;ELECTRICITE DE FRANCE;674923.44;6407689.5;0;Ouvrage de type Lac;416.100006103516;749111424;200;"0,588000";8;Francis;Concédée;2009-12-31;268.5
12036003;Microcentrale du Rat;EXPL;12036;Brommat;SARL DU MOULIN DU RAT;675152.99;6413462.76;0;Ouvrage fonctionnant au fil de l'eau;0.275000005960464;146122;;;;;;;4
12037001;LA JOURDANIE;EXPL;12037;Broquiès;ELECTRICITE DE FRANCE;676995.09;6324357.92;0;Ouvrage fonctionnant par éclusées;16.2000007629395;41084068;158;"0,024000";4;Kaplan;Concédée;2005-12-31;15.8000001907349
12038001;Moulin du Tarn;EXPL;12038;Brousse-le-Château;SARL DU MOULIN DU TARN;669952.06;6321913.5;0;Ouvrage fonctionnant au fil de l'eau;3.57500004768372;9093408;46;;;;Autorisée;;3.5
12039001;Moulin Brusque;EXPL;12039;Brusque;SOCIETE A ET A;695965.08;6296478.32;0;Ouvrage fonctionnant au fil de l'eau;0.0790000036358833;;;;;;;;
12039002;"Moulin de Cros, ou de la Beaume";EXPL;12039;Brusque;A ET A;696050.44;6296025.5;0;Ouvrage fonctionnant au fil de l'eau;0.118000000715256;136843;;;;;;;
12042001;Moulin de Soulayrol;EXPL;12042;Calmels-et-le-Viala;SARL SOLEYROL;680313.21;6316706.9;0;Ouvrage fonctionnant au fil de l'eau;0.495000004768372;1114817;;;;;;;3.5
12044001;Moulin de Camarès;EXPL;12044;Camarès;COMMUNE DE CAMARES;690351.2;6302365;0;Ouvrage fonctionnant au fil de l'eau;0.148000001907349;437592;;;;;;;5.40000009536743
12048001;LARDIT;EXPL;12048;Campouriez;ELECTRICITE DE FRANCE;666956.06;6396003;0;Ouvrage de type Lac;51.2099990844727;93450200;15;"0,757000";3;Francis;Concédée;2021-12-31;352
12052001;Centrale Arelles;EXPL;12052;Capdenac-Gare;ARELLES HYDRO ET COMPAGNIE;623442.76;6385292.13;0;Ouvrage fonctionnant au fil de l'eau;1.29999995231628;3560147;;;;;;;2.29999995231628
12061001;CASTELNAU-LASSOUTS;EXPL;12061;Castelnau-de-Mandailles;ELECTRICITE DE FRANCE;689984.06;6378482.5;0;Ouvrage fonctionnant par éclusées;41.0999984741211;66921716;97;"0,120000";4;Francis;Concédée;2023-12-31;49.9000015258789
12064001;Usine de Notre Dame de Bonneval;EXPL;12064;Le Cayrol;SOCIETE DE LA BONNE VALLEE;683902;6384922;0;Ouvrage fonctionnant au fil de l'eau;0.328999996185303;;2.40000009536743;;;;Autorisée;2034-08-31;13
12071001;Compolibat (Moulin de Roquenoubal);EXPL;12071;Compolibat;COMPOLIBAT HYDRO RENOUVELABLE;636315.3;6364433.5;0;Ouvrage fonctionnant au fil de l'eau;0.39300000667572;634232;15;;;;;;2.79999995231628
